cod_mun,alpha_mun_mean,alpha_mun_lo,alpha_mun_hi,alpha_mun_range,nome_municipio
4111605,29077.163304335725,22248.729760265353,35761.60985566101,13512.880095395656,4111605
4111704,16688.53727562505,10123.193546633158,23365.66734830469,13242.473801671533,4111704
4111803,26427.768557541563,19890.529969773066,33014.1721677031,13123.642197930036,4111803
4111902,48514.475204761286,41989.415011051584,55150.33649667133,13160.921485619743,4111902
4112009,35414.65152821904,28768.486130583413,42060.01372526761,13291.527594684194,4112009
4112108,29462.550983695826,23032.140934085895,36040.54918330352,13008.408249217624,4112108
4112207,26456.793454981693,20066.046501576417,32961.89472307726,12895.848221500844,4112207
4112306,18588.733179629708,11888.377943168747,25185.927763796037,13297.54982062729,4112306
4112405,21510.221164070816,14938.999346087934,27970.831660269196,13031.832314181262,4112405
4112504,19095.93180514531,12758.819553040352,25637.367659091855,12878.548106051503,4112504
4112603,25904.903931872796,18913.337545822298,32868.315066595125,13954.977520772827,4112603
4112702,15231.290640551604,8589.144845150759,21758.437968426922,13169.293123276164,4112702
4112751,31656.052046449553,25243.09062754866,38025.123497044835,12782.032869496175,4112751
4112801,39227.37256370833,32680.16344760565,45741.92266361231,13061.759216006663,4112801
4112900,23503.17881614872,16767.886848117083,30248.73777979028,13480.850931673198,4112900
4112959,37968.270959964015,31274.62485598275,44741.88160871621,13467.256752733461,4112959
4113007,29824.176250298126,22814.62988253516,36885.21229408178,14070.58241154662,4113007
4113106,23379.19781188872,16747.725942898538,30037.56762014306,13289.841677244523,4113106
4113205,31844.046564558186,25496.488325585306,38199.606093250964,12703.117767665659,4113205
4113254,12601.305571546498,6134.887522473183,18937.82655208997,12802.939029616788,4113254
4113304,20039.607333467953,13335.430638243397,26618.84598040913,13283.415342165732,4113304
4113403,29926.74824885134,23393.70862759099,36517.01652108649,13123.307893495497,4113403
4113429,20855.57841537177,14182.194012062455,27611.780109134215,13429.58609707176,4113429
4113452,29567.786697628733,22705.004283818154,36599.53095738561,13894.526673567452,4113452
4113502,20873.455060524757,14299.569169766823,27634.211725630114,13334.64255586329,4113502
4113601,34069.867661564,27496.80802306024,40875.05467593205,13378.24665287181,4113601
4113700,31938.742348414937,25283.91254021132,38677.882204777394,13393.969664566073,4113700
4113734,38608.13632162628,31798.834428693164,45488.87177057887,13690.037341885709,4113734
4113759,15983.201114285926,9277.300202034048,22727.6329742959,13450.33277226185,4113759
4113809,18144.311719608173,11436.66116199952,25006.56390762926,13569.90274562974,4113809
4113908,39136.68830498462,32400.527571155362,45712.57524730515,13312.047676149785,4113908
4114005,36621.888594543954,29936.65338250525,43280.17928870233,13343.525906197083,4114005
4114104,21373.978562066684,14456.029013695468,27883.75805574012,13427.729042044652,4114104
4114203,34846.3168245657,28242.832343758397,41104.17924586449,12861.346902106096,4114203
4114302,21227.777197655276,14340.99373083306,27993.26329370451,13652.269562871448,4114302
4114351,18599.703667971044,12210.483600335741,25174.186904490503,12963.703304154762,4114351
4114401,70704.59422662103,64094.25838884717,77335.00402794177,13240.745639094603,4114401
4114500,23498.116420915598,16908.421747929446,30202.297610566784,13293.875862637338,4114500
4114609,37232.004675520526,30443.280377046714,43937.43345132506,13494.153074278343,4114609
4114708,15045.286251158523,8422.823203745658,21493.25521295815,13070.43200921249,4114708
4114807,36833.11590728316,30393.03866705985,43411.04622120067,13018.007554140819,4114807
4114906,31648.280607528446,25026.990444942603,38089.19601178676,13062.205566844154,4114906
4115002,15682.645620182873,8935.09330962112,22490.79736594986,13555.704056328741,4115002
4115101,17861.02621033747,11094.920339860248,24870.930423982416,13776.010084122168,4115101
4115200,38138.11889122165,31422.84433896719,44542.302838325595,13119.458499358407,4115200
4115309,34991.7992764124,28508.98437219396,41540.24074618274,13031.256373988777,4115309
4115358,52782.99696981964,46330.501631686944,59284.18599833572,12953.684366648777,4115358
4115408,25208.01469026396,18299.34570516715,32086.255560995323,13786.909855828173,4115408
4115457,15456.024007606155,8582.962317410613,22150.698746236325,13567.736428825712,4115457
4115507,14498.711798695556,7975.289924413263,21007.46204036576,13032.172115952497,4115507
4115606,38268.38969497425,31583.791049051415,45135.75441079345,13551.963361742037,4115606
4115705,20434.819470316717,13973.514666193158,26989.397216985617,13015.88255079246,4115705
4115739,19517.936977410787,12767.033056410588,25933.826067872393,13166.793011461805,4115739
4115754,25140.439433547537,18463.821852074805,32156.30891390482,13692.487061830016,4115754
4115804,34210.06616058431,27420.390547863928,40867.89502322579,13447.504475361864,4115804
4115853,32233.15017853281,25496.514210307218,38939.16602502743,13442.651814720211,4115853
4115903,36043.3973572736,29339.43996617202,42843.65671475648,13504.216748584458,4115903
4116000,19283.55682243752,12458.780265573263,26059.905830939475,13601.125565366212,4116000
4116059,28587.135391332966,21743.992441045113,35466.53412306565,13722.541682020536,4116059
4116109,18795.371125362974,11996.690300813736,25310.970099373008,13314.279798559272,4116109
4116208,16717.903076143997,10411.368813923671,23250.020853353177,12838.652039429506,4116208
4116307,21510.039304103073,14899.752280707296,28026.23703861208,13126.484757904782,4116307
4116406,16711.29085514584,10031.310146452002,23287.49905519381,13256.188908741808,4116406
4116505,23988.09312871521,17220.731400841545,30789.68924999732,13568.957849155773,4116505
4116604,20576.45739862888,13994.901953965817,27167.118892596744,13172.216938630927,4116604
4116703,43192.80440565962,36418.54738559599,49909.71531470288,13491.167929106887,4116703
4116802,31126.69002276616,24731.275492699653,37400.14951244922,12668.874019749568,4116802
4116901,22764.005545411746,16047.400247436286,29537.29685266213,13489.896605225844,4116901
4116950,19516.939335258987,13065.95342425919,26179.375652341278,13113.422228082087,4116950
4117008,23628.699601669945,16875.883130446182,30249.717919582283,13373.8347891361,4117008
4117057,15261.73779368844,8552.443518388192,21581.28449205386,13028.840973665667,4117057
4117107,21666.74065044852,15242.328682439782,28044.874907309022,12802.54622486924,4117107
4117206,12612.272689250087,5807.793866340911,19486.556840431393,13678.762974090481,4117206
4117214,16430.791115684067,9913.393003816782,23064.452034477767,13151.059030660985,4117214
4117222,35125.50224245926,28465.785307897615,41649.62742112049,13183.842113222872,4117222
4117255,26125.57557732528,19453.15302509284,32789.77182712111,13336.618802028272,4117255
4117271,18276.245136813654,11520.901208369316,24987.76834480928,13466.867136439963,4117271
4117297,20243.938741547794,13372.42637613665,26968.800144300792,13596.373768164143,4117297
4117305,59915.602924744504,53208.963457015176,66506.27479583166,13297.311338816486,4117305
4117404,27985.150989231755,21195.650730331698,34642.82481582143,13447.174085489729,4117404
4117453,27440.72164231314,20805.015294197285,33809.68014560586,13004.664851408575,4117453
4117503,16469.5661423075,9670.100636114346,23356.378514930224,13686.277878815878,4117503
4117602,20067.486760425563,13548.352793793229,26600.488723809915,13052.135930016686,4117602
4117701,33241.66482321453,26560.623624168733,39862.379484391815,13301.755860223082,4117701
4117800,15895.648448257964,8856.728567049855,22807.140270739394,13950.411703689539,4117800
4117909,55446.62242206132,48994.13169229033,62084.81073212235,13090.679039832023,4117909
4118006,19326.489189699718,12626.024707373443,26036.875119036977,13410.850411663534,4118006
4118105,24087.83742491538,17480.19763816142,30583.324847036023,13103.127208874605,4118105
4118204,52714.672384554666,46180.081452448394,59204.19385545266,13024.112403004263,4118204
4118303,18053.632803517477,11377.195570181802,24576.421875997377,13199.226305815575,4118303
4118402,24636.57751108323,17903.14554870036,31520.28079724201,13617.13524854165,4118402
4118451,25748.584117910064,18760.051995427297,32632.006634592537,13871.95463916524,4118451
4118501,38561.10838475877,31664.317665081388,45407.769217893176,13743.451552811788,4118501
4118600,42239.3288504895,35676.37423686144,48749.35964918356,13072.985412322123,4118600
4118709,35056.74187728814,28535.13335786346,41736.576263923744,13201.442906060285,4118709
4118808,20291.95125261451,13614.219870482784,27050.006463743262,13435.786593260478,4118808
4118857,26074.656004095268,19539.573572492824,32593.202494852132,13053.628922359308,4118857
4118907,36203.5835967577,30041.856849435404,42610.2100747427,12568.353225307299,4118907
4119004,22038.53575430776,15353.9527331993,28807.574207265996,13453.621474066696,4119004
4119103,53106.570052928626,46660.131052988654,59546.79133773368,12886.660284745027,4119103
4119152,41911.87813597285,35563.89710620451,48359.47150897024,12795.574402765727,4119152
4119202,22770.302893665645,16063.327150121717,29568.698956341068,13505.371806219351,4119202
4119251,17018.096157706306,10200.01316435746,24001.857333800697,13801.844169443237,4119251
4119301,40111.255144534225,33501.06142802927,46660.3917303662,13159.33030233693,4119301
4119400,27610.126022741828,20868.62418719761,34345.25677084959,13476.632583651983,4119400
4119509,10931.324901593489,4266.392078728001,17376.81836219751,13110.426283469511,4119509
4119608,23656.774753426453,17065.518756888498,30303.609289177013,13238.090532288516,4119608
4119657,25276.202347157574,18781.695870095868,31870.076604562637,13088.38073446677,4119657
4119707,19843.56004777982,13003.789204713144,26392.886995965582,13389.097791252438,4119707
4119806,20207.616904866074,13539.276540542205,26846.993195924315,13307.71665538211,4119806
4119905,36643.121986818835,30053.43963966387,43430.44120679842,13377.001567134554,4119905
4119954,24526.030184986026,18066.221985649496,31208.12117936862,13141.899193719124,4119954
4120002,38098.42855861113,31381.828168348005,44919.424115335336,13537.59594698733,4120002
4120101,22297.27527010353,15672.894124454637,28998.21413042853,13325.320005973892,4120101
4120150,26397.36650545869,19735.70133078609,32910.03252554856,13174.331194762468,4120150
4120200,23149.87350770595,16325.160755693527,29944.877628458875,13619.716872765348,4120200
4120309,14820.980916883505,7718.557336231181,21894.7961920883,14176.238855857118,4120309
4120333,28965.51414799762,22566.3461697415,35443.899104318974,12877.552934577474,4120333
4120358,33905.80596423812,27495.7006489032,40046.1886367009,12550.4879877977,4120358
4120408,21288.21534332991,14666.479110271403,27818.167036290037,13151.687926018634,4120408
4120507,23119.67745863423,16217.874668786582,30042.482781378232,13824.60811259165,4120507
4120606,19481.29990664918,12701.619477219365,26203.83089892858,13502.211421709215,4120606
4120655,43351.14014468846,36559.64657914837,49891.831586847286,13332.185007698914,4120655
4120705,21026.974269706243,14393.146651492723,27430.291279843314,13037.14462835059,4120705
4120804,57625.56142272093,51043.417722871585,64300.44348377357,13257.025760901983,4120804
4120853,38186.76485087694,31574.353852916607,44685.19329127442,13110.839438357816,4120853
4120903,35674.30754525461,29269.243282368447,42181.860814789135,12912.617532420689,4120903
4121000,15593.099610221516,8949.894596535685,22099.38044550676,13149.485848971073,4121000
4121109,32273.960168456586,25619.889422147287,38886.74696805428,13266.85754590699,4121109
4121208,17296.784789800426,10524.094590069273,23975.54015665424,13451.445566584965,4121208
4121257,17552.471770127802,10629.757711823033,24315.77808945603,13686.020377632998,4121257
4121307,25749.886223720834,19072.52286487572,32299.549042081042,13227.026177205324,4121307
4121356,46166.141225143154,39818.79603369657,52619.47066960002,12800.674635903451,4121356
4121406,29706.535552381705,23012.68450022223,36462.283691565746,13449.599191343517,4121406
4121505,21886.973005979256,15235.970644628718,28670.74914882099,13434.77850419227,4121505
4121604,34083.9154191787,27569.421332977545,40583.140466881385,13013.71913390384,4121604
4121703,19918.57731760951,13513.439145322458,26482.627564939263,12969.188419616805,4121703
4121752,18480.784533292393,12109.869838289223,25030.435555216598,12920.565716927375,4121752
4121802,35338.77657247198,28752.692398809413,41922.944786690656,13170.252387881243,4121802
4121901,15617.447139645068,8990.736731167355,22301.561921507742,13310.825190340387,4121901
4122008,31622.586789958004,24879.81282856446,38321.02026570881,13441.207437144349,4122008
4122107,18957.405625780742,12294.120519032893,25550.403645701237,13256.283126668344,4122107
4122156,19022.855506703567,12022.655090838087,26033.695686260347,14011.04059542226,4122156
